OrderID,Order Date,CustomerID,Region,ProductCategory,ProductID,Quantity,UnitPrice,ShippingCost,DeliveryDate,DeliveryStatus,Carrier,WarehouseID
82512a47-90c5-4b44-baf0-092cae694f97,2/9/2024,044fed45-a1c2-490f-a18c-e2923645bcef,Africa,Clothing,33af6511-4f24-4308-a72a-79c97f997c48,32,168.13,5.32,3/18/2024,Delivered,USPS,W001
d42194b4-4a9f-44c6-912c-52e0df2c9460,5/13/2024,f2dadfbf-8c2a-4d82-95fb-15163167426b,Australia,Furniture,6795d401-00cd-4658-8f98-abcf0ef0e6f8,86,742.53,47.64,7/1/2024,Cancelled,Amazon Logistics,W005
014cfcbe-bbd7-4500-bd27-c57d2db75048,5/20/2024,24f91bcc-3c7c-4640-b03c-c6f45b81903a,Asia,Groceries,779e152d-7b27-44ae-952c-1ebc3378a595,33,435.07,38.83,6/29/2024,Cancelled,DHL,W002
54e6c226-6d69-41fe-b05d-fa6f1a1c36ca,6/28/2024,d5f742c5-7798-471a-8631-a9c4b64fb404,North America,Books,04511bcd-fb76-4c53-8a39-7b8f350b79fd,68,419.42,36.29,7/4/2024,Delivered,Amazon Logistics,W002
04b8a93d-8d03-4813-8cee-18abefc5eb05,7/15/2024,ee81679c-7708-41f6-8017-3405b5e6024a,South America,Toys,5a403ee6-a71c-400e-9fd9-394c3d5d7f99,89,58.97,21.31,3/9/2024,In Transit,DHL,W003
6fc9095f-3e1f-488a-9bdd-0bf26a192d96,5/11/2024,b28961db-b4a5-4788-bd7c-2e5f05fef467,Asia,Clothing,b165a57b-259a-4a9c-adb8-29b23708eb51,23,497.02,7.61,7/1/2024,Delivered,USPS,W004
ae80bdb9-b04e-4c7a-b6e1-4e6aa9618b4b,3/16/2024,c17b4b1e-8720-44cc-bcf4-02b8ac5a21a3,Africa,Clothing,b90edb82-2927-409c-a8ad-a6a6d2d904c1,56,833.99,5.16,4/22/2024,Delivered,USPS,W002
8be72aeb-c7d6-4e0a-9dfc-19e713fecbc3,7/20/2024,afeeceb1-a28e-4338-a6a0-8d85e56c1ca5,Asia,Books,d7b281fc-b881-4376-9fd1-1b7db7a4c11e,34,920.13,46.73,4/28/2024,In Transit,DHL,W005
3a766091-c866-4ed8-ad58-4679d8c8eb2a,3/22/2024,f50f97ec-e5d2-44eb-8c5b-a1b92f36fbae,Australia,Books,6ea77571-2883-413f-ac1c-8d3e7500822d,23,592.44,21.43,5/15/2024,Cancelled,Amazon Logistics,W004
b1bb5eed-31e5-4763-838a-3934513590d0,5/12/2024,bc3539ff-1e1b-4bbf-9eda-c3a561c789bf,Europe,Books,66029402-5476-4993-9fa9-379ad6c6c29d,85,575.04,46.31,6/10/2024,Delivered,DHL,W004
534e4ba9-1152-4f76-8c2b-2232c0338656,6/29/2024,54315bce-89f7-442d-a76f-01dc60065ead,Africa,Electronics,bdcba675-8e1a-4086-94c4-ac8f6574f835,34,691.77,41.63,3/9/2024,In Transit,USPS,W001
b461cba0-27d8-4e33-b2d2-5656139c68fd,6/17/2024,9c91838f-37a7-463d-824a-196f3947c2b1,South America,Electronics,b1f8c6c8-167b-4007-a5b5-ab1e285605df,35,833.87,32.17,1/6/2024,Cancelled,DHL,W002
c4b8115f-f6b6-4227-ad77-a1477a6d43bd,4/19/2024,f2235c15-cb07-409f-8731-b89bd1e0d36c,North America,Toys,d4efeaea-38cb-4640-8666-e89bf0854e0d,17,415.75,22.11,5/27/2024,Delivered,FedEx,W002
4ec98f68-67ad-49ed-8669-6ae953b34e2c,6/20/2024,21d7b244-c096-466e-86e5-6eac4f729b90,South America,Toys,cff4d7c8-fbfa-4a89-bc0d-ab213e0ae386,26,113.54,44.92,7/14/2024,Delivered,UPS,W005
4a552111-ec06-4421-a5ad-4f0c29ba4eb6,4/17/2024,add4313d-434f-4f8c-8625-661da6063e9a,South America,Books,28783ae6-ef15-4aa8-af65-9f0b4d451d1d,71,378.87,26.59,4/18/2024,Delivered,DHL,W002
b7b2665e-88dc-444f-8828-bed846aed612,4/21/2024,eb8a6f26-ea4d-4835-9c8c-a883330d57e8,Australia,Groceries,517d4f15-0add-41a5-8789-d7aef0621768,49,851.05,21.71,2/12/2024,Cancelled,UPS,W003
084000d1-7be0-4b4e-b35d-c837be9bc098,1/25/2024,90aa8051-28c5-420f-a75b-8608dee286a5,Africa,Groceries,e6b8449f-906b-46e2-b4e8-59323b4d65d9,30,574.86,12.55,5/1/2024,Delivered,FedEx,W002
baa3b29c-1d36-41b0-939c-d4d11ddd718c,4/2/2024,e229e488-90d4-4966-bd6f-d0d6ca234fe4,Australia,Groceries,667448b8-d093-46fa-9e81-59c39f5e44b3,49,753.66,31.01,7/3/2024,Cancelled,Amazon Logistics,W004
ec18738f-f9d5-42b1-a900-f178e60dc128,1/25/2024,3e9b8712-cb77-447a-9610-0787566fa4ba,Africa,Toys,b48b091f-ada0-4bdb-b3cc-6ec644086f3f,36,147.35,17.41,3/14/2024,Delivered,Amazon Logistics,W005
2b4a28a9-f4ec-4bfd-b3b6-c3d5a802f7db,4/7/2024,1f334324-653e-4eb6-abf3-264202429aa4,Africa,Toys,7a854661-73db-47f0-abc2-548748e3ccba,89,132.77,43.66,2/17/2024,Cancelled,UPS,W003
394ed946-5763-4623-bb6d-a17551381e67,6/5/2024,c2be4a72-2ea0-4e3b-9080-b159d5bcafb9,Asia,Electronics,507be4c2-d86b-4bec-b5d2-d767430a1e29,62,651.24,45.84,2/20/2024,Cancelled,Amazon Logistics,W001
aebfc9a4-fd0d-42e1-98d2-c52dadee43e5,6/22/2024,3d68d0a2-7390-4040-b244-0e7a88b44b32,Europe,Electronics,7ace03ad-f5fc-4fe7-81a9-a338060ca6b9,68,945.13,32.26,7/11/2024,Delivered,Amazon Logistics,W004
efd6c2eb-44a3-4a0b-9a36-9b3cf1c73764,5/3/2024,fa266f97-676e-4e07-aeb1-86bb71f0d94b,South America,Electronics,0a6c987c-a48e-4cfc-9eaf-89ab72df9396,95,308.68,39.78,6/6/2024,Cancelled,DHL,W004
5121f352-59d7-4396-9807-c6ee9bd22bf6,1/3/2024,51b215cc-f7a1-47ae-82c9-809a4efc1e92,Australia,Toys,08219616-0399-408e-8a24-f0708c6530b5,23,486.38,49.65,7/14/2024,Delivered,FedEx,W004
cc2dfe29-5c81-407e-a03c-265e2859e737,5/12/2024,1d648d31-11b5-4b0c-bf9a-e0a5643cff1a,Africa,Clothing,6a210474-6e9f-4007-a6c9-b12b2a2b4841,70,707.12,37.21,1/9/2024,Cancelled,Amazon Logistics,W004
ecb9ed34-7a2d-4b5e-b188-b07dd12bf738,5/2/2024,5608ec88-8be0-4ac1-b718-6e2862ba633d,Europe,Books,1d3de322-9e1e-494b-a9d2-e48bb79016bd,100,344.32,35.14,7/2/2024,Delivered,UPS,W005
c71e6bc5-3deb-4397-80a0-baba53796d82,4/7/2024,7c73143c-3ab1-4186-9feb-a68e52f954ad,Africa,Furniture,9fb170d0-7263-4b44-82bb-5e2aea12cb43,46,173.14,15,1/14/2024,Cancelled,UPS,W005
8f2333c0-6354-4c4e-a58e-1c2a6faab59d,3/18/2024,4f9fa1d5-dce5-4d28-8dfc-e443a68a5db2,Australia,Electronics,cc0483fb-2acc-44d8-adff-8c7747c39e44,74,473.32,29.34,7/15/2024,Delivered,USPS,W005
276018c3-de4e-4464-add2-337f655ef5e0,2/8/2024,ed9a48db-6965-4ed0-991b-a68c7b853986,Asia,Clothing,2313751b-cd5a-4fa5-8ac3-10e530726159,56,618.33,35.52,7/14/2024,In Transit,USPS,W004
67e9779b-1f9b-4a8b-9dbd-c7d83a349710,5/3/2024,ef9e3e77-e23e-4595-bda4-4b827e0f3043,South America,Clothing,a9530735-d0f0-4e13-8a0f-b4bbe3e9525f,19,543.29,42.33,6/27/2024,Delivered,Amazon Logistics,W001
54cea3cc-a6b1-4631-a16d-af8147249277,2/17/2024,e3fb98a8-6a4d-46e1-9e73-cb6d34ffa16c,Europe,Furniture,fe788ad4-d912-497b-a7a4-7d3567694fcb,71,289.5,16.75,7/1/2024,In Transit,FedEx,W005
b379f4b8-2598-46ad-a159-9253f020fb47,5/12/2024,05b51e6c-8bb3-411b-bafd-b5554a2e6c32,North America,Clothing,815b7178-91b9-4915-93f4-35a62e97e27c,97,289.86,41.57,2/19/2024,Cancelled,Amazon Logistics,W003
32502aeb-7082-425d-ae52-738670ea29eb,5/18/2024,fdfcd1e7-80e9-4bb7-a82f-386c67a0f967,Australia,Groceries,e694b304-f3b3-473b-9098-7d3a9d7af38c,78,175.21,23.32,5/30/2024,Delivered,UPS,W004
1754e85a-06bb-4d50-9622-94a5f448e90f,1/20/2024,f1858594-f6e2-4c7a-89a0-ee2cd30d5bf8,Asia,Clothing,570a7e90-44fb-4235-b9a4-f817ffd8c503,3,900.94,43.82,4/10/2024,Delivered,UPS,W005
54339c5c-5609-40c2-91da-9f5682b25339,7/10/2024,2c7f3bd8-e211-4554-98e8-49d9387eeb89,Australia,Toys,90ae9a00-9db6-4b61-82b8-b14a2727ce03,14,882.28,48.88,1/14/2024,In Transit,USPS,W003
363883a1-46fe-4e01-b4f8-d23b5ee6d581,2/26/2024,68bda289-41f0-4a07-a975-1d94588f34e9,Asia,Clothing,2ccd85b6-30c4-47d7-868c-eafc8d74f375,13,159.9,31.12,5/24/2024,Cancelled,Amazon Logistics,W005
ffc4ee0f-6f3c-4839-8964-1c887b34f532,6/15/2024,7ffb3df1-b4ef-4fd8-9609-46d79dd75c51,North America,Toys,0fd184ec-6c6a-47de-a7a7-740f7d311997,56,335.44,18.64,7/9/2024,Delivered,UPS,W001
06337f59-255c-4d64-bd3d-40b69b347064,3/15/2024,4e84cc80-3021-4c97-a304-94bd19884098,North America,Groceries,5853d0ba-3eec-481a-8b55-e1356575e547,63,250.64,26.27,7/25/2024,In Transit,FedEx,W005
51d84196-b728-47cb-9af6-12dbd9b7d6ce,5/3/2024,72413d56-d78e-4328-8ea1-5b73ab4c632b,Europe,Clothing,84dfb026-ee95-46f6-bac4-5e6cb1b124b8,81,484.85,13.49,7/1/2024,In Transit,DHL,W003
4a343b84-12f8-4c3a-ac21-e8e6573ca444,3/24/2024,6ba9cb6a-6395-4b46-89c1-f05ee99c0ff7,North America,Clothing,3766e62a-3d38-4401-84e8-f67ce532e40e,65,586.36,26.1,7/19/2024,Cancelled,USPS,W002
136265fd-2ebf-4f72-a8be-d4e89d0d9571,5/26/2024,305871c2-2c56-4fb0-b370-361e9ec40acb,Australia,Furniture,0b3eb64c-bd5a-41b3-b720-33798d277819,89,12.4,37.31,7/9/2024,In Transit,DHL,W001
f3b7078d-c155-440c-affe-04ba832b8d95,3/24/2024,276a0eda-aa25-46f7-bc00-b4e38470a889,North America,Toys,ff7fd38b-c961-47ea-84ac-73be6f2ec9b1,19,740.73,11.72,4/10/2024,In Transit,FedEx,W005
4aaf8209-48b2-4225-bec5-98de1f791e3e,3/8/2024,d6e25682-46e1-4ec1-80f4-4fcd26cf7c5f,Asia,Electronics,384e31e8-2d92-47ae-a166-071f211f4e0d,63,848.62,48.31,2/21/2024,In Transit,Amazon Logistics,W004
e252717e-2e47-4be7-91de-f8c513755381,3/28/2024,e9554f96-744a-4b7f-b223-f4c6941633fd,Asia,Furniture,7109a53b-dd1f-414d-bb89-f6695ba523f3,53,999.2,47.98,2/15/2024,In Transit,FedEx,W004
4826786f-7a99-485c-b831-4012ef6b714b,7/19/2024,a75215a1-98f2-422b-92b7-e5dcca45613a,North America,Clothing,b43d3cfe-88ac-4bfc-bd90-e105e3f0a06a,26,847.02,6.45,2/13/2024,Cancelled,DHL,W001
f8bbe650-0c7c-45fa-8de0-2dfdd4e63f82,4/18/2024,a10affcd-8785-42c6-b336-2f2009f36f45,Asia,Toys,38c25f49-ade3-40f6-be93-6b4c979c7c6f,95,672.97,29.18,5/23/2024,Delivered,USPS,W004
73debc37-1f6d-4c7b-99b2-f07e349ed9cf,6/5/2024,f254be9d-f277-4623-a875-c8c579e8cfe2,South America,Electronics,229c6989-3b00-4d69-af37-58e3d5f3b9b8,55,532.21,6.09,1/9/2024,Cancelled,Amazon Logistics,W001
ef346065-b7f7-4df9-ac8e-4dda9f65b849,3/20/2024,614b8d18-ad71-4411-9e5c-9affb3bf9181,Europe,Furniture,81850b0a-93ff-4935-9553-42788ee414a3,31,549.44,22.59,1/5/2024,Cancelled,Amazon Logistics,W002
a0a403f2-2be1-479c-9128-c24fe2d2d22a,5/1/2024,54f55d3a-7be4-48ae-9e4b-42edf8639598,Africa,Furniture,1393bef8-7dac-4d50-ad96-ea39d4224434,70,941.39,36.23,5/28/2024,Cancelled,Amazon Logistics,W004
78b23b63-e847-4307-8e44-ab9f7fed569d,6/7/2024,f370409c-3bbe-4b2c-bdac-84491869d02b,Africa,Furniture,b05d4d00-a266-4a3c-a56c-6ccb6373d4c4,52,613.02,16.91,5/9/2024,Cancelled,FedEx,W005
a12efe4e-7506-41ca-aefc-c4c2aec14402,6/23/2024,c739ed45-1a03-47ca-ab36-cef457299907,Africa,Toys,ea899505-69f9-44e3-9749-4d7cd97012c7,34,528.54,29.7,6/29/2024,Delivered,FedEx,W003
29dd7165-5c70-4e19-825e-2f45e78ba407,7/26/2024,f31298f0-4810-4425-b706-2cca254637dc,Africa,Books,221e42ff-fa19-4393-8b11-9ab2c937259e,29,814.47,30.02,2/18/2024,Cancelled,USPS,W002
